Member,Street Address:,City:,Address.x,Address.y,Site Name,Site ID,distance,Agency,Zip Code:,County:,Agency Name,Location Name:,Square footage of space occupied:,"Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):",Staff Population,"Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?",Non-Staff Population,"Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation?",Approximate number of visitors per year:,Contact name:,Phone:,Fax:,Email:,Trash Hauler,Trash Destination,Trash Actual vs Volume,Trash (lbs),Recycling: Single Stream Hauler,Recycling: Single Stream Destination,Recycling: Single Stream Actual vs Volume,Recycling: Single Stream Actual Weight (in Pounds),"Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)",Organics Hauler,Organics Destination,Organics Actual vs Volume,Organics (lbs),Total MSW,Aluminum (scrap other than cans) Hauler/Recycler,Aluminum (scrap other than cans) Actual vs Volume,Aluminum (scrap other than cans) Actual Weight (in Pounds),Anti-freeze Hauler/Recycler,Anti-freeze Actual vs Volume,Anti-freeze Actual Weight (in Pounds),Auto Oil Hauler/Recycler,Auto Oil Actual vs Volume,Auto Oil Actual Weight (in Pounds),Batteries: appliance (rechargeable) Hauler/Recycler,Batteries: appliance (rechargeable) Actual vs Volume,Batteries: appliance (rechargeable) Actual Weight (in Pounds),Batteries: vehicle Hauler/Recycler,Batteries: vehicle Actual vs Volume,Batteries: vehicle Actual Weight (in Pounds),Construction Material Hauler/Recycler,Construction Material Actual vs Volume,Construction Material Actual Weight (in Pounds),"E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)",Fluorescents Hauler/Recycler,Fluorescents Actual vs Volume,Fluorescents Actual Weight (in Pounds),"Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)",Metal (scrap) Hauler/Recycler,Metal (scrap) Actual vs Volume,Metal (scrap) Actual Weight (in Pounds),Paint Hauler/Recycler,Paint Actual vs Volume,Paint Actual Weight (in Pounds),Parts Cleaner Hauler/Recycler,Parts Cleaner Actual vs Volume,Parts Cleaner Actual Weight (in Pounds),Solvent Hauler/Recycler,Solvent Actual vs Volume,Solvent Actual Weight (in Pounds),Textiles Hauler/Recycler,Textiles Actual vs Volume,Textiles Actual Weight (in Pounds),Toner Cartridges Hauler/Recycler,Toner Cartridges Actual vs Volume,Toner Cartridges Actual Weight (in Pounds),Tires Hauler/Recycler,Tires Actual vs Volume,Tires Actual Weight (in Pounds),"Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)",All Other Actual Weight (in Pounds),Specialty Waste (lbs),"Please specify materials included in ""All Other"" weight:",Recycling (lbs),MSW Recycling Rate (%),Total Recycling Rate (%),Waste Per Capita (lbs per staff),Waste Per Capita Including Non-Staff (lbs per staff),"Waste Per Capita (including staff, resident and visitor)",Is your agency location utilizing the state's recycling best practices?,Indicate your agency<U+0092>s timeline for implementing the new program:,Details:,The State of Minnesota has established a Green Meeting Policy. This can be provided by the Minnesota Department of Administration and the Minnesota Pollution Control Agency. Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?,Indicate your agency's timeline for implementing the Green Meeting Policy:,Details:_1,State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):
"R4: Detroit Lakes District Headquarters - 1000 West TH 10 Detroit Lakes, MN 56501",1000 Hwy 10 West,Detroit Lakes,"1000 hwy 10 w, detroit lakes","1000 w th 10, detroit lakes","SITE, D4A, HEADQUARTERS, DETROIT LAKES",11878,0,DOT,56501,Becker,Department of Transportation,Detroit Lakes,140655,140655,Offices/Repair Shop,110,No,NA,Yes,300,NA,NA,NA,NA,Waste Management,NA,NA,NA,Waste Management,NA,Actual weight,8633,NA,NA,NA,NA,Waste Management,NA,Actual weight,527,NA,NA,NA,NA,9160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Farnams,Weight converted from volume,106,NA,NA,NA,NA,NA,NA,Green Lights Recycling,Weight converted from volume,152,NA,NA,NA,lakes iron,Actual weight,7850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First State Tire,NA,NA,NA,NA,NA,NA,8108,NA,9160,100,100,156.98,156.98,42.12,Yes,NA,NA,Yes,NA,NA,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard
Utilizing electronic HR and IT processes as a standard
Partner with State Surplus for redistributing unneeded supplies"
"R3A: Wadena Truck Station - 1701 Industrial Drive Wadena, MN 56482",1701 Industrial Park Dr,Wadena,"1701 indhwytrial park dr, wadena","1701 indhwytrial dr, wadena","SITE, D3A, TRUCK STATION, WADENA",11854,0,DOT,56482,NA,Department of Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waste Management,NA,Actual weight,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",508 4th St E.,Ada,"508 4th st e, ada","505 e 4th st, ada","SITE, D2B, TRUCK STATION, ADA",11824,0,DOT,56510,Norman,Department of Transportation,Ada TS,NA,NA,NA,4,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,NA,NA,NA,NA,Ada City Recycling,NA,Actual weight,16,NA,NA,NA,NA,NA,NA,NA,NA,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weight converted from volume,189,NA,NA,NA,NA,189,NA,16,1.5,16.33,313.75,313.75,313.75,Yes,NA,NA,Yes,NA,NA,NA
"R8: Pipestone Truck Station - 604 4th St NW Pipestone, M 56164",604 4th St NW,Pipestone,"604 4th st nw, pipestone","604   4th st w, pipestone","SITE, D8A, TRUCK STATION, PIPESTONE",12065,0,DOT,56164,Pipestone,Department of Transportation,Pipestone,2000,20215,office and maint. activities,4,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,City of Pipestone,NA,Actual weight,6300,NA,NA,NA,NA,City of Pipestone,NA,Actual weight,40,NA,NA,Actual weight,260,NA,NA,NA,NA,6600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,4.55,4.55,1650,1650,1650,Yes,NA,NA,Yes,NA,NA,NA
"R2: Hallock Truck Station - 307 South Colombus Avenue Hallock, MN 56728",307 S. Columbus,Hallock,"307 s columbhwy, hallock","307 s columbhwy ave, hallock","SITE, D2B, TRUCK STATION, HALLOCK",11832,0,DOT,56728,Polk,Department of Transportation,Hallock TS,NA,NA,NA,3,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,MarKit Landfill,Weight converted from volume,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,175,175,Yes,NA,NA,Yes,NA,NA,NA
"R7W: St. James Truck Station - 1513 7th Avenue South St. James, MN 56081",1413 7th Ave So,St James,"1413 7th ave so, st james","1513   7th ave s, st james","SITE, D7W, TRUCK STATION, ST JAMES",12044,0,DOT,56081,Watonwan,Department of Transportation,St James,12492,12492,Mait Shop,6,No,NA,No,NA,Mark Larson,507-375-4051,NA,NA,Waste Management,NA,Weight converted from volume,6300,Waste Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,1050,1050,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",504 Main St,Baudette,"504 main st, baudette","204 main st e, baudette",Office & Garage,11825,F,DNR,56623,NA,NA,Baudette TS,NA,NA,NA,6,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vendor,Weight converted from volume,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,3.65,242.17,242.17,242.17,Yes,NA,NA,Yes,NA,NA,NA
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",505 Industrial Park Rd,Park Rapids,"505 indhwytrial park rd, park rapids","500 washington ave indhwytrial park rd, park rapids","SITE, D2A, TRUCK STATION, PARK RAPIDS",11835,0,DOT,56470,Hubbard,Department of Transportation,Park Rapids TS,NA,NA,NA,6,No,NA,No,NA,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,NA,NA,NA,NA,MNDOT,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,116.67,116.67,116.67,Yes,NA,NA,Yes,NA,NA,NA
"R8: Montevideo Truck Station - 815 N 17th St Montevideo, MN 56265",815 N 17th St,Montevideo,"815 n 17th st, montevideo","711 s 17th st, montevideo",Montevideo TACC,12063,F,DMA,56265,Chippewa,Department of Transportation,Montevideo,600,5280,office and maint activities,6,No,NA,No,NA,Gary Grahn,320-214-6340,320-213-6307,gary.grahn@state.mn.us,City of Montevideo,NA,Weight converted from volume,6300,City of Montevideo,NA,NA,NA,City of Montevideo,NA,Actual weight,60,NA,NA,Actual weight,60,NA,NA,NA,NA,6420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,1100,NA,NA,NA,NA,1300,NA,120,1.87,18.39,1286.67,1286.67,1286.67,Yes,NA,NA,Yes,NA,NA,NA
D2: East Grand Forks Truck Station,2512 10th St NE,East Grand Forks,"2512 10th st ne, e grand forks","2511 hwy 2 ne, e grand forks","SITE, D2B, TRUCK STATION, EAST GRAND FORKS",11829,0,DOT,56721,Polk,Department of Transportation,East Grand Forks TS,NA,NA,"Shop, office",5,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Waste Management,"Grand Forks, ND Landfill",Weight converted from volume,1400,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,280,280,Yes,NA,NA,NA,NA,NA,NA
"R7W: Adrian Truck Station - 504 County Road 35 Adrian, MN 56110",504 Co Rd 35 56110,Adrain,"504 co rd 35 56110, adrain","504 co rd 35, adrian","SITE, D7W, TRUCK STATION, ADRIAN",12038,0,DOT,56110,Nobles,Department of Transportation,Adrian,5520,5520,Maint Shop,4,No,NA,No,NA,Randy Potts,507-483-2818,NA,NA,Schaap Sanitation,NA,Weight converted from volume,4200,Schaap Sanitation,NA,Weight converted from volume,804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,16.07,16.07,1251,1251,1251,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R3A: Baxter District Headquarters - 1991 Industrial Park Road Crow Wing, MN 56401",7694 Industrial Park Rd,Baxter,"7694 indhwytrial park rd, baxter","8053 indhwytrial park rd, baxter",Baxter - Quality Enterprises II - 8053 Industrial - MSOCS Admin office,11843,F,DHS,56425,Crow Wing,Department of Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waste Management,NA,Actual weight,30800,East Side Oil Companies/WM,NA,Actual weight,834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Financial Operations Sale of Surplus Materials,Actual weight,346.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hewlett Packard,NA,NA,First State Tire disposal,NA,NA,NA,NA,NA,NA,346.8,NA,834,2.64,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7E: New Ulm Truck Station - 58418 County Rd 21 New Ulm, MN 56073",58417 County rd 27,New Ulm,"58417 co rd 27, new ulm","58418 co rd 21, new ulm","SITE, D7E, TRUCK STATION, NEW ULM",12021,0,DOT,56073,Brown,Department of Transportation,New Ulm,11700,11700,Maint Shop,4,NA,NA,No,NA,Tony Desantiago,507-354-1173,NA,NA,Riverview Sanitation,NA,Weight converted from volume,8400,Riverview Sanitation,NA,Weight converted from volume,804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,8.74,8.74,2301,2301,2301,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"D3A: Pine River Truck Station - 3019 State 371 SW Pine River, MN 56474",3019 State 371 SW,Pine River,"3019 state 371 sw, pine river","3019 mn hwy 371 sw, pine river","SITE, D3A, TRUCK STATION, PINE RIVER",11852,0,DOT,56474,NA,Department of Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waste Partners,NA,Actual weight,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4: Alexandria Truck Station - 1405 Hwy 27 W Alexandria, MN 56308",1405 34th Ave West,Alexandria,"1405 34th ave w, alexandria","1430 maryland ave e, saint paul",BCA Maryland Bldg & Garage,11899,F,ADM,56308,Douglas,Department of Transportation,Alexandria,18138,18138,Office/Maintenance Shop,15,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,NA,NA,Waste Management,NA,Actual weight,700,Waste Management,NA,Actual weight,3,Waste Management,NA,NA,NA,NA,NA,NA,NA,703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,100,100,46.87,46.87,46.87,Yes,NA,NA,Yes,NA,NA,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
"R3A: Garrison Truck Station - 27365 MN Highway 18 Garrison, MN 56450",27365 State Highway 18,Garrison,"27365 state hwy 18, garrison","27365 mn hwy 18, garrison","SITE, D3A, TRUCK STATION, GARRISON",11847,0,DOT,56450,NA,Department of Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Garrison Disposal/Waste Management,NA,Actual weight,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2: Erskine Truck Station - 34659 Highway 59 SE Erskine, MN 56535",34659 US Hwy 59,Erskine,"34659 hwy hwy 59, erskine","hwy 2 e of hwy 59, erskine","SITE, D2B, WEIGH SCALE, ERSKINE",11842,0,DOT,56535,Polk,Department of Transportation,Erskine TS,NA,NA,NA,6,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Bacon Day,Polk County Incinerator,Weight converted from volume,1400,NA,NA,NA,NA,MNDOT,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,233.33,233.33,233.33,Yes,NA,NA,Yes,NA,NA,NA
"R8: Hutchinson Truck Station - 1400 Adams St SE Hutchinson, MN 55350",1400 Adams St SE,Hutchinson,"1400 adams st se, hutchinson","709 dale st, hutchinson",Hutchinson - 709 Dale St - Little Crow,12057,F,DHS,55350,McLeod,Department of Transportation,Hutchinson,6000,43680,office and maint activities,18,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,West Central Sanitation,NA,NA,9450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,50.13,1052.78,1052.78,1052.78,Yes,NA,NA,Yes,NA,NA,NA
"R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484",8005 Sautbine Rd NW,Walker,"8005 sautbine rd nw, walker","4815 w arrowhead rd, suite 200, hermantown",Hermantown - West Arrowhead,11838,F,DHS,56484,Cass,Department of Transportation,Walker TS,NA,NA,NA,6,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City Sanitation,Pine River Transfer Station,Weight converted from volume,1400,NA,NA,NA,NA,MNDOT,NA,Actual weight,20,MNDOT,NA,Actual weight,30,NA,NA,NA,NA,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,Actual weight,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,Actual weight,300,MNDOT,NA,NA,NA,715,NA,50,3.45,35.33,360.83,360.83,360.83,Yes,NA,NA,Yes,NA,NA,NA
"R4: Morris Headquarters - 610 MN Hwy 9 South Morris, MN 56267",51 Minnesota Drive,Morris,"51 minnesota dr, morris","1715 marion rd, rochester",Rochester TACC,11879,F,DMA,56267,Stevens,Department of Transportation,Morris,41836,41836,Office/Maintenance Shop,30,No,NA,No,NA,NA,NA,NA,NA,Engebretson Sanitary Landfill,"Morris, Mn",Weight converted from volume,4550,NA,NA,NA,NA,NA,NA,NA,NA,Engebretson Sanitary Landfill,"Morris, MN",Weight converted from volume,570,NA,NA,NA,NA,5120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,570,11.13,11.38,171.13,171.13,171.13,Yes,NA,NA,Yes,NA,NA,"Office supply reuse center
Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard
Utilizing electronic HR and IT processes as a standard
Partner with State Surplus for redistributing unneeded supplies"
"R4: Perham Truck Station - 711 3rd Avenue SE Perham, MN 56573",411 Coney Street East,Perham,"411 coney st e, perham","8501 pederson rd, wakeup camp host site, ely",Pump House at Wakemup - Pd by Bear Head,11912,F,DNR,56573,Otter Tail,Department of Transportation,Perham,3599,3599,Maintenance Shop,6,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,NA,NA,Waste Management,NA,Weight converted from volume,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,100,100,87.5,87.5,87.5,Yes,NA,NA,Yes,NA,NA,"Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
"R2: Warren Truck Station - 417 South Main Street Warren, MN 56762",417 S Main,Warren,"417 s main, warren","433 s main st, warren","SITE, D2B, TRUCK STATION, WARREN",11839,0,DOT,56762,Marshall,Department of Transportation,Warren TS,NA,NA,NA,3,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Warren,MarKit Landfill,Weight converted from volume,700,NA,NA,NA,NA,MNDOT,Local recycling container,NA,NA,MNDOT,Local recycling container,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.33,233.33,233.33,Yes,NA,NA,Yes,NA,NA,NA
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",12080 Town Rd 299,Northome,"12080 town rd 299, nome","2702 109th ln nw, coon rapids",Coon Rapids - 109th Coon Rapids 2,11834,F,DHS,56661,Koochiching,Department of Transportation,Northome TS,NA,NA,NA,5,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,NA,NA,NA,NA,MNDOT,Local recycling container,Actual weight,26,MNDOT,Local recycling container,Actual weight,55,NA,NA,NA,NA,1131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,81,7.16,14.7,246.2,246.2,246.2,Yes,NA,NA,Yes,NA,NA,NA
"D2: Grygla Truck Station - 410 S Marshall Ave, Grygla MN 56727",410 Marshall Ave,Grygla,"410 marshall ave, grygla","19041 hwy 74 old garage, altura",Whitewater SP Cold Storage R2900501320,11831,F,DNR,56727,Marshall,Department of Transportation,Grygla TS,NA,NA,NA,3,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Spruce Valley Corp,MarKit Landfill,Weight converted from volume,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.33,233.33,233.33,Yes,NA,NA,Yes,NA,NA,NA
